case_type,case_label,mashup_id,mashup_name,method,rank,api_id,api_name,api_description,api_group,train_frequency,is_positive,reciprocal_rank_score,seed_appearances,mean_rank_when_present,mashup_slug,mashup_description,api_slug
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,1,624,Google Maps,api longer available google map service split multiple apis including static map api street view image api direction apis distance matrix api elevation api geocoding api geolocation api place api road api time zone apithis page maintained purely historical research purposesthe google map api allow embedding google map onto web page outside developer using simple javascript interface flash interface designed work mobile device well traditional desktop browser application api includes language localization 50 language region localization geocoding ha mechanism enterprise developer want utilize google map api within intranet api http service accessed secure http connection google map api premier customer,Head,1898,0,3.0,3,1.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,google-maps
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,2,1079,Twitter,api longer available ha split multiple apis including twitter ad api twitter search tweet api twitter direct message apithis profile maintained historical research reference purpose onlythe twitter microblogging service includes two restful apis twitter rest api method allow developer access core twitter data includes update timeline status data user information search api method give developer method interact twitter search trend data api presently support following data format xml json r atom syndication format method accepting subset format,Head,629,0,1.5,3,2.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,twitter
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,3,1069,Youtube,data api allows user integrate program youtube allow perform many operation available website provides capability search video retrieve standard feed see related content program also authenticate user upload video modify user playlist integration used variety us developing web application allowing user upload video youtube device desktop application brings youtube experience new platform data api give user programmatic access video user information stored youtube used personalize web site application user existing information well perform action like commenting rating video restful api provides response xml format,Head,513,0,1.0,3,3.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,youtube
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,4,90,Flickr,flickr api used retrieve photo flickr photo sharing service using variety feed public photo video favorite friend group pool discussion api also used upload photo videothe flickr api support many protocol including rest soap xmlrpc response formatted xml xmlrpc json php documentation included 14 api kit library,Head,458,0,0.75,3,4.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,flickr
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,5,867,Facebook,api longer available function split among following apis facebook ad facebook atlas facebook graph facebook marketing profile maintained purely historical research purposesthe facebook api platform building application available member social network facebook api allows application use social connection profile information make application involving publish activity news feed profile page facebook subject individual user privacy setting api user add social context application utilizing profile friend page group photo event data api us restful protocol response json format,Head,354,0,0.6000000000000001,3,5.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,facebook
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,6,96,Amazon Product Advertising,wa formerly ec ecommerce service ha renamed product advertising api api developer retrieve product information api expose amazon product data ecommerce functionality allows developer web site publisher others leverage amazon product discovery feature amazon us power business potentially make money amazon affiliate additionally api ha feature allowing developer advertise proucts let user search amazon product help user discover amazon product rest soap apis provided profile rest api,Head,322,0,0.5,3,6.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,amazon-product-advertising
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,7,712,Twilio,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike twilio provides cloud api voice sm communication leverage existing web development skill resource infrastructure minimizes learning curve required build advanced reliable voice communication application solve critical business need syntax programming model focused making application development close requestresponse model web …,Head,270,0,0.4285714285714285,3,7.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,twilio
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,8,1401,Last Fm,lastfm api give user ability build program using lastfm data whether web desktop mobile device restful api allows read write access full slate lastfm music data resource album artist playlist event user allows user call method respond either xml json,Head,178,0,0.375,3,8.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,last.fm
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,9,634,Ebay,ebays primary web service found three following apis trading api designed provide robust support transactional activity service offered trading api allow developer list item manage user information get item information manage ebay sale purchase shopping api lightweight service optimized buyer shopping browsing shopping api let user take search ebay put site application api designed creation buying application fast response time finding api ebays next generation search api finding api provides relevant search result compared existing search apis ha array search refinement capability developer leverage finding api integrate robust searching browsing experience buying application note october 2011 ebay ha deprecated getsearchresults …,Head,164,0,0.3333333333333333,3,9.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,ebay
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Popularity,10,13,Twilio SMS,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike sm api allows user send receive sm message application api implement short code technology allow faster higher volume sm messaging example us api include sending customer automatic sm message multifactor authentication interactive polling api us restful interface,Head,141,1,0.3,3,10.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,twilio-sms
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,1,624,Google Maps,api longer available google map service split multiple apis including static map api street view image api direction apis distance matrix api elevation api geocoding api geolocation api place api road api time zone apithis page maintained purely historical research purposesthe google map api allow embedding google map onto web page outside developer using simple javascript interface flash interface designed work mobile device well traditional desktop browser application api includes language localization 50 language region localization geocoding ha mechanism enterprise developer want utilize google map api within intranet api http service accessed secure http connection google map api premier customer,Head,1898,0,3.0,3,1.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,google-maps
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,2,1079,Twitter,api longer available ha split multiple apis including twitter ad api twitter search tweet api twitter direct message apithis profile maintained historical research reference purpose onlythe twitter microblogging service includes two restful apis twitter rest api method allow developer access core twitter data includes update timeline status data user information search api method give developer method interact twitter search trend data api presently support following data format xml json r atom syndication format method accepting subset format,Head,629,0,1.5,3,2.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,twitter
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,3,1069,Youtube,data api allows user integrate program youtube allow perform many operation available website provides capability search video retrieve standard feed see related content program also authenticate user upload video modify user playlist integration used variety us developing web application allowing user upload video youtube device desktop application brings youtube experience new platform data api give user programmatic access video user information stored youtube used personalize web site application user existing information well perform action like commenting rating video restful api provides response xml format,Head,513,0,1.0,3,3.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,youtube
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,4,90,Flickr,flickr api used retrieve photo flickr photo sharing service using variety feed public photo video favorite friend group pool discussion api also used upload photo videothe flickr api support many protocol including rest soap xmlrpc response formatted xml xmlrpc json php documentation included 14 api kit library,Head,458,0,0.7,3,4.333333333333333,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,flickr
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,5,867,Facebook,api longer available function split among following apis facebook ad facebook atlas facebook graph facebook marketing profile maintained purely historical research purposesthe facebook api platform building application available member social network facebook api allows application use social connection profile information make application involving publish activity news feed profile page facebook subject individual user privacy setting api user add social context application utilizing profile friend page group photo event data api us restful protocol response json format,Head,354,0,0.65,3,4.666666666666667,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,facebook
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,6,96,Amazon Product Advertising,wa formerly ec ecommerce service ha renamed product advertising api api developer retrieve product information api expose amazon product data ecommerce functionality allows developer web site publisher others leverage amazon product discovery feature amazon us power business potentially make money amazon affiliate additionally api ha feature allowing developer advertise proucts let user search amazon product help user discover amazon product rest soap apis provided profile rest api,Head,322,0,0.5,3,6.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,amazon-product-advertising
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,7,1401,Last Fm,lastfm api give user ability build program using lastfm data whether web desktop mobile device restful api allows read write access full slate lastfm music data resource album artist playlist event user allows user call method respond either xml json,Head,178,0,0.4285714285714285,3,7.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,last.fm
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,8,634,Ebay,ebays primary web service found three following apis trading api designed provide robust support transactional activity service offered trading api allow developer list item manage user information get item information manage ebay sale purchase shopping api lightweight service optimized buyer shopping browsing shopping api let user take search ebay put site application api designed creation buying application fast response time finding api ebays next generation search api finding api provides relevant search result compared existing search apis ha array search refinement capability developer leverage finding api integrate robust searching browsing experience buying application note october 2011 ebay ha deprecated getsearchresults …,Head,164,0,0.3611111111111111,3,8.333333333333334,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,ebay
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,9,712,Twilio,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike twilio provides cloud api voice sm communication leverage existing web development skill resource infrastructure minimizes learning curve required build advanced reliable voice communication application solve critical business need syntax programming model focused making application development close requestresponse model web …,Head,270,0,0.3361111111111111,3,9.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,twilio
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,Graph-only,10,204,Google Search,note december 2006 api longer actively supported google suggest developer use google ajax search api,Head,138,0,0.1111111111111111,1,9.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,google-search
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,1,133,Spokenbuzz,site spokenbuzz innovative voice portal give voicemail call forwarding call screening outbound calling many service many feature free use web interface make call time must pay want custom inbound telephone number access voice messaging service free api currently one service available allows make request initiate phone call number allow recipient phone call record short voice message return url webpage link play back message may use link way want enhance service build mashups,Tail,1,0,3.0,3,1.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,spokenbuzz
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,2,723,Plum Fuse,plum fuse cloudbased visual voice application editor programmable platform offer api connectivity automate customer interaction phone fuse api us rest soap csv uploading downloading data fuse platform contains prebuilt module allow user rapidly piece together component test deploy voice application fuse also offer optimized prebuilt application common task vertical accelerate process even make fuse accessible developer nondevelopers alike developer use fuse build manage advanced voice application including ivr outbound calling messaging notification voice smsmms automated phone survey call routing system granular sharing permission simplify application management make fuse ideal product ongoing team collaboration fuse support speech recognition texttospeech offer diverse …,Middle,3,0,1.5,3,2.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,plum-fuse
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,3,639,Backtweets,backtweets search engine link twitter enter url see conversation tweet reference link part service backtype conversational search engine,Middle,4,0,1.0,3,3.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,backtweets
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,4,362,Rhymebrain,rhymebrain display best rhyming commonly used word search query api allows user include rhymebraincom rhyming result web site us restful call response formatted json,Tail,1,0,0.75,3,4.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,rhymebrain
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,5,931,Nabaztag,nabaztag wifi enabled ambient electronic device shape rabbit nabaztag api allows activate thirdparty application event nabaztag example controlling movement ear commanding led sending message tt text speach nabcast nabaztag api user send text message rabbit send choregraphies rabbit send nabcast rabbit get ear position rabbit stream mp3 nabaztagtag webradio podcast personal music retrieve information status rabbit account,Tail,1,0,0.6000000000000001,3,5.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,nabaztag
fusion_beats_graph,Graph+BGE succeeds while Graph-only fails,3781,Anaphonr,BGE-only,6,202,Snappyfingers,snappyfingers let use question answer based search engine api underlying service search faq file across internet,Tail,1,0,0.5,3,6.0,anaphonr,fun mashup help find anaphones anaphone word phrase name formed rearranging sound another galaxy lucky gas plus power twilio text anaphone inquiry 785 378 5626,snappyfingers
