api_id,api_slug,api_name,api_description,description_found
13,twilio-sms,Twilio SMS,twilio provides simple hosted api markup language business quickly build scalable reliable advanced voice sm communication application twilio provides telephony infrastructure web service cloud enabling web programmer integrate realtime phone call application twilios simple payasyougo pricing model mean customer pay capacity need voice application written twilios cloud solution scale transparently eliminating programming operational contractual headache frequently associated rapid growth traffic spike sm api allows user send receive sm message application api implement short code technology allow faster higher volume sm messaging example us api include sending customer automatic sm message multifactor authentication interactive polling api us restful interface,True
69,evoca,Evoca,offer customer audience supporter easy way record play content comment review testimonial opinion online let call website phone landline mobile skype restful http api integrates phonetoweb feature existing web application also includes recording using customizable flash recorder customization selfservice configuration medium management feature part innovative highly scalable medium platform access free developer version available httpwwwevocacomdevelopersdeveloperversionuseragreemephp,True
90,flickr,Flickr,flickr api used retrieve photo flickr photo sharing service using variety feed public photo video favorite friend group pool discussion api also used upload photo videothe flickr api support many protocol including rest soap xmlrpc response formatted xml xmlrpc json php documentation included 14 api kit library,True
95,hp-cloud-object-storage,Hp Cloud Object Storage,hp cloud object storage offer user online storage hp cloud object storage user create container add object needed object size 5 gb api provides programmatic access functionality cloud object storage service api developer build cloud based storage application public documentation api available,True
96,amazon-product-advertising,Amazon Product Advertising,wa formerly ec ecommerce service ha renamed product advertising api api developer retrieve product information api expose amazon product data ecommerce functionality allows developer web site publisher others leverage amazon product discovery feature amazon us power business potentially make money amazon affiliate additionally api ha feature allowing developer advertise proucts let user search amazon product help user discover amazon product rest soap apis provided profile rest api,True
113,mandrill,Mandrill,mandrill email application email template service hosted mailchimp mandrill api allows developer access integrate functionality mandrill application create new application example api method include managing account user information retrieving sending message sending template,True
122,del.icio.us,Del Icio US,site delicious social bookmarking website primary use delicious store bookmark online allows access bookmark computer add bookmark anywhere delicious use tag organize remember bookmark much flexible system folder api provides readwrite access delicious bookmark tag via httpbased interface restful api return response xml,True
133,spokenbuzz,Spokenbuzz,site spokenbuzz innovative voice portal give voicemail call forwarding call screening outbound calling many service many feature free use web interface make call time must pay want custom inbound telephone number access voice messaging service free api currently one service available allows make request initiate phone call number allow recipient phone call record short voice message return url webpage link play back message may use link way want enhance service build mashups,True
192,maplight,Maplight,maplight look connection campaign donation legislative vote effort reveal money influence politics maplight performs research supporting opposing interest legislative bill maplights bill position api provides tool discovering connection campaign donation legislative vote also mashed database contain information bill politicallyactive organization restful api return result json xml,True
202,snappyfingers,Snappyfingers,snappyfingers let use question answer based search engine api underlying service search faq file across internet,True
204,google-search,Google Search,note december 2006 api longer actively supported google suggest developer use google ajax search api,True
228,eyeem,Eyeem,eyeem photosharing discovery app allows user connect photo eyeem categorizes photo subject location take data user photo recommend album similar photo friend likeminded people api give user access much eyeem current functionality including acquiring user photo album favorite like comment well topic photo tag city country venue event api documentation accessed upon registration,True
249,pdxcouncilconnect,Pdxcouncilconnect,pdxcouncilconnect service portland oregon egovpdx group city technology department make api available access city council agenda voting information pdxcouncilconnect api provides developer access agenda session item information data includes location time well bureau affected vote occurs api also return voting information government api ha restful interface provides data json,True
262,lyricsfly,Lyricsfly,site api available anyone wish use database music project website program currently use web search lyric use code trick access lyric website display relevant lyric text content reliable source without hassle,True
271,google-calendar,Google Calendar,calendar data api let user perform operation normal google calendar user google calendar website google calendar allows client application view update calendar event form google data api gdata feed calendar data api let user incorporate calendar functionality application website user edit calendar create delete event query event match particular criterion send invitation many possible us calendar data api example user create web front end group calendar us google calendar back end public calendar generated google calendar display based company event database user search relevant calendar display list upcoming event calendar,True
272,govtrack.us,Govtrack US,site govtrackus track u congress reference legislation vote member congress congressional district congressional record database power site also made freely available several apis available apis url govtrack serve xml rather html intended called application retrieve data dynamically,True
284,lyricwiki,Lyricwiki,wikia collaborative publishing platform enables people around world discover create share content topic wikia also provides lyricwiki api service provides user lyric many popular song variety artist free api used via soap rest though soap functionality currently robust lyric returned xml json html plain text authentication optional using api via soap available using rest used want associate webservice change make useraccount please note due licensing restriction api directly return small portion lyric directly useful determining correct match response also contain url corresponding page full lyric,True
314,411sync,411sync,noteas 6252008 appears api longer available site help software developer provide content cell phone using 411syncs sm text message api standard technology xml r developer use 411sync sm text message service offer custom information user user request information sending text message sm custom unique sm id created developer response custom information sent user cell phone text message need send u data web standard r xml format,True
318,eventful,Eventful,eventful world largest collection event taking place local market throughout world concert sport single event political rally eventfulcom built upon unique open platform enables partner web application leverage eventfuls data feature functionality via eventful api eventful api provides access entire site database enabling developer integrate functionality eventful platform web application common api task include event venue search api us restful call response formatted either xml json yaml,True
362,rhymebrain,Rhymebrain,rhymebrain display best rhyming commonly used word search query api allows user include rhymebraincom rhyming result web site us restful call response formatted json,True
391,webshots,Webshots,note api available request site email u today get started please include contact information explanation application hope develop understand plan use api share community built respond api call partner key password term condition use,True
406,maluuba-natural-language,Maluuba Natural Language,maluuba phone assistant app us natural voice recognition technology turn user command action work feature calendar reminder weather search voice call email maluuba api work across two main functionality interpreting meaning phrase finding normalized value date time api us restful call response formatted json,True
413,google-homepage,Google Homepage,site google gadget api provides way put thirdparty content onto google homepage main use google gadget api create gadget miniapplications user add google personalized homepage google property example could create photo album gadget gadget display interactive game api designed simple enough anyone turn web page application gadget,True
415,citysourced,Citysourced,citysourced real time mobile civic engagement tool citysourced provides 1 free simple intuitive tool empowering citizen identify civic issue graffiti trash pothole etc report city hall quick resolution 2 opportunity government use technology save money accountable govern 3 positive collaborative platform real civic action platform called citysourced empowers ordinary citizen crowd source solution common civic issue citysourced powered freedomspeaks apis,True
428,30-boxes,30 Boxes,30 box calendaring service allows organize life share friend also keep track friend calendar 30 box interface flickr livejournal blogger among others 30 box also support sm email notification,True
456,sharethis,Sharethis,sharethis let share profile blog friend contact see something want share simply click sharethis button webpage browser plugin instant sharing,True
481,sunlight-labs-congress,Sunlight Labs Congress,site set create uptodate database 110th congress provides basic clerical information member congress phone email district etc via api moreover provide converter method convert different id thereby facilitating bringing together data person different source complete package provided basic api method tie city zipcodes district latitudelongitude perfect webbased mashups,True
