case_type,case_label,mashup_id,mashup_name,api_id,api_name,api_group,direct_api_name_mention,direct_api_name_match,selection_level,selection_rule,strict_clean,scf_seed_appearances,lightgcn_seed_appearances,graph_bge_seed_appearances,bge_seed_appearances,scf_consensus_rank,lightgcn_consensus_rank,graph_bge_consensus_rank,bge_consensus_rank,scf_best_seed_rank,num_positives,head_positives,middle_positives,tail_positives,unseen_positives,scf_total_hits_over_3_seeds,all_methods_total_hits_over_3_seeds
middle_rescue,Middle API 语义协同补救案例,6,Betterhome,1130,Walk Score,Middle,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,3.0,0.0,0.0,0.0,6.0,,,,5.0,8,,,,,,
middle_rescue,Middle API 语义协同补救案例,93,Kiva Loan Map,1003,Kiva,Middle,1.0,kiva,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,1.0,3.0,1.0,2.0,,1.0,1.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,248,Distances Calculator,1383,Google Directions,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,1.0,0.0,0.0,0.0,,,,,9.0,6,,,,,,
middle_rescue,Middle API 语义协同补救案例,248,Distances Calculator,212,Google Distance Matrix,Middle,0.0,,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,5.0,,,3.0,4.0,6,,,,,,
middle_rescue,Middle API 语义协同补救案例,299,Real Estate Mashup,1130,Walk Score,Middle,1.0,walk score,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,1.0,0.0,3.0,3.0,9.0,,2.0,2.0,5,,,,,,
middle_rescue,Middle API 语义协同补救案例,770,Hotel Comparison Widget,940,Sletoh.com,Middle,1.0,sletohcom,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,1208,Our Places,765,Bigtribe,Middle,1.0,bigtribe,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,2.0,4.0,,1.0,2.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,1399,Nestoria Uk,985,Nestoria,Middle,1.0,nestoria,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,3.0,,,1.0,2.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,2168,Teamleaks,1166,Espn,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,3.0,0.0,3.0,3.0,4.0,,8.0,2.0,5,,,,,,
middle_rescue,Middle API 语义协同补救案例,2240,Lookzi,407,Simplegeo,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,1.0,0.0,0.0,3.0,,,,3.0,9.0,10,,,,,,
middle_rescue,Middle API 语义协同补救案例,2276,Instalyrics,1214,Musixmatch,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,3.0,0.0,3.0,3.0,9.0,,2.0,2.0,5,,,,,,
middle_rescue,Middle API 语义协同补救案例,2310,Tweetbrite,297,Eventbrite,Middle,0.0,,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,3.0,,,,4.0,9.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,2439,Beer Signal,27,Shizzow,Middle,1.0,shizzow,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,5.0,,,4.0,4.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,2490,Twt.fm,805,Ilike,Middle,1.0,ilike,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,8.0,,,2.0,7.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,2559,Mybloglog First Steps,589,Mybloglog,Middle,1.0,mybloglog,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,2.0,10.0,,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,2608,Showhear,702,Songkick,Middle,0.0,,1,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 未命中,1,3.0,0.0,1.0,0.0,7.0,,,,6.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,2730,Glastonbury 2009 Lineup Mashup,1260,Bbc Music,Middle,1.0,bbc music,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,0.0,9.0,,,,9.0,9,,,,,,
middle_rescue,Middle API 语义协同补救案例,3106,Wap Based Image Search,171,Riya,Middle,1.0,riya,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,3.0,9.0,,,2.0,8.0,5,,,,,,
